,Name of movie,Year of relase,Watchtime,Movie Rating,Metascore,Votes,Gross collection,Description,Director,Star
33,The Rainmaker,1997,135,7.2,72,"77,216",$45.86M,An underdog lawyer takes on a fraudulent insurance company.,Francis Ford Coppola,"['Matt Damon', 'Danny DeVito', 'Claire Danes', 'Jon Voight']"
34,The Age of Innocence,1993,139,7.2,90,"61,665",$32.20M,"A tale of nineteenth-century New York high society in which a young lawyer falls in love with a woman separated from her husband, while he is engaged to the woman's cousin.",Martin Scorsese,"['Daniel Day-Lewis', 'Michelle Pfeiffer', 'Winona Ryder', 'Linda Faye Farkas']"
35,Brick,2005,110,7.2,72,"1,07,354",$2.06M,A teenage loner pushes his way into the underworld of a high school crime ring to investigate the disappearance of his ex-girlfriend.,Rian Johnson,"['Joseph Gordon-Levitt', 'Lukas Haas', 'Emilie de Ravin', 'Meagan Good']"
36,Old Henry,2021,99,7.2,69,"27,238",*****,"An action western about a farmer who takes in an injured man with a satchel of cash. When a posse comes for the money, he must decide who to trust. Defending a siege, he reveals a gunslinging talent calling his true identity into question.",Potsy Ponciroli,"['Tim Blake Nelson', 'Scott Haze', 'Gavin Lewis', 'Trace Adkins']"
37,Lawless,2012,116,7.2,58,"2,44,587",$37.40M,"Set in Depression-era Franklin County, Virginia, a trio of bootlegging brothers are threatened by a new special deputy and other authorities angling for a cut of their profits.",John Hillcoat,"['Tom Hardy', 'Shia LaBeouf', 'Guy Pearce', 'Jason Clarke']"
38,The Founder,2016,115,7.2,66,"1,54,115",$12.79M,"The story of Ray Kroc, a salesman who turned two brothers' innovative fast food eatery, McDonald's, into the biggest restaurant business in the world, with a combination of ambition, persistence, and ruthlessness.",John Lee Hancock,"['Michael Keaton', 'Nick Offerman', 'John Carroll Lynch', 'Linda Cardellini']"
39,The Birdcage,1996,117,7.2,72,"91,836",$124.06M,A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancée's right-wing moralistic parents.,Mike Nichols,"['Robin Williams', 'Nathan Lane', 'Gene Hackman', 'Dianne Wiest']"
40,Monsters University,2013,104,7.2,65,"3,64,477",$268.49M,"A look at the relationship between Mike Wazowski (Billy Crystal) and James P. ""Sully"" Sullivan (John Goodman) during their days at Monsters University, when they weren't necessarily the best of friends.",Dan Scanlon,"['Billy Crystal', 'John Goodman', 'Steve Buscemi', 'Helen Mirren']"
41,Dr. No,1962,110,7.2,78,"1,69,909",$16.07M,A resourceful British government agent seeks answers in a case involving the disappearance of a colleague and the disruption of the American space program.,Terence Young,"['Sean Connery', 'Ursula Andress', 'Bernard Lee', 'Joseph Wiseman']"
42,The Crying Game,1992,112,7.2,90,"56,655",$62.55M,"A British soldier kidnapped by the IRA soon befriends one of his captors, who then becomes drawn into the soldier's world.",Neil Jordan,"['Stephen Rea', 'Jaye Davidson', 'Forest Whitaker', 'Miranda Richardson']"
43,August: Osage County,2013,121,7.2,58,"91,783",$37.74M,"A look at the lives of the strong-willed women of the Weston family, whose paths have diverged until a family crisis brings them back to the Oklahoma house they grew up in, and to the dysfunctional woman who raised them.",John Wells,"['Meryl Streep', 'Dermot Mulroney', 'Julia Roberts', 'Juliette Lewis']"
44,Crazy Heart,2009,112,7.2,83,"91,180",$39.46M,A faded country music musician is forced to reassess his dysfunctional life during a doomed romance that also inspires him.,Scott Cooper,"['Jeff Bridges', 'Maggie Gyllenhaal', 'Colin Farrell', 'James Keane']"
45,The Death of Stalin,2017,107,7.2,88,"1,05,014",$8.04M,"Moscow, 1953. After being in power for nearly 30 years, Soviet dictator Joseph Vissarionovich Stalin takes ill and quickly dies. Now the members of the Council of Ministers scramble for power.",Armando Iannucci,"['Steve Buscemi', 'Simon Russell Beale', 'Jeffrey Tambor', 'Andrea Riseborough']"
46,"Sex, Lies, and Videotape",1989,100,7.2,86,"56,057",$24.74M,A sexually repressed woman's husband is having an affair with her sister. The arrival of a visitor with a rather unusual fetish changes everything.,Steven Soderbergh,"['James Spader', 'Andie MacDowell', 'Peter Gallagher', 'Laura San Giacomo']"
47,Twin Peaks: Fire Walk with Me,1992,134,7.2,45,"98,768",$4.16M,"Laura Palmer's harrowing final days are chronicled one year after the murder of Teresa Banks, a resident of Twin Peaks' neighboring town.",David Lynch,"['Sheryl Lee', 'Ray Wise', 'Mädchen Amick', 'Dana Ashbrook']"
